transacao_id,cliente_id,tipo_transacao,valor_kz,data_transacao,canal,status,provincia,tipo_conta
TXN004814,CLI0131,Recebimento de Salário,240948.76,2023-01-17 17:27:31,Internet Banking,Aprovada,Sumbe,Empresarial
TXN003492,CLI0054,Pagamento de Empréstimo,234018.29,2024-10-21 14:22:27,ATM,Aprovada,Cabinda,Poupança
TXN001750,CLI0065,Compra com Cartão,215875.93,2023-08-01 07:23:38,Agente Bancário,Pendente,Benguela,Empresarial
TXN003646,CLI0032,Pagamento de Serviço,211406.88,2024-04-18 14:27:04,Internet Banking,Aprovada,Uíge,Jovem
TXN003521,CLI0091,Depósito,230464.33,2024-01-11 05:29:57,Agente Bancário,Aprovada,Lubango,Corrente
TXN002668,CLI0071,Recarga de Telemóvel,235960.67,2024-01-08 12:32:30,Internet Banking,Pendente,Lubango,Empresarial
TXN000522,CLI0127,Depósito,140433.2,2024-07-04 17:15:40,Internet Banking,Aprovada,Malanje,Corrente
TXN002653,CLI0148,Pagamento de Electricidade,17990.86,2023-04-30 16:15:19,Balcão,Recusada,Kuito,Jovem
TXN000675,CLI0087,Recebimento de Salário,98145.0,2024-08-11 12:48:58,Internet Banking,Aprovada,Uíge,Poupança
TXN000657,CLI0052,Depósito,245745.31,2023-07-21 10:40:12,ATM,Aprovada,Uíge,Corrente
TXN002669,CLI0118,Pagamento de Empréstimo,110845.11,2024-03-22 16:24:22,App Mobile,Aprovada,Saurimo,Corrente
TXN002354,CLI0031,Pagamento de Serviço,53744.54,2023-07-05 02:54:29,Internet Banking,Aprovada,Uíge,Poupança
TXN000683,CLI0143,Recarga de Telemóvel,129965.83,2023-02-19 15:46:21,Agente Bancário,Aprovada,Uíge,Poupança
TXN003816,CLI0200,Recarga de Telemóvel,173944.85,2024-09-21 15:47:28,Internet Banking,Aprovada,Malanje,Empresarial
TXN000240,CLI0045,Recarga de Telemóvel,107412.7,2023-02-01 13:28:37,Balcão,Aprovada,Lubango,Empresarial
TXN002195,CLI0122,Pagamento de Empréstimo,190742.87,2024-07-14 17:26:47,Internet Banking,Pendente,Lubango,Empresarial
TXN000652,CLI0175,Transferência,144796.28,2024-04-12 16:52:37,App Mobile,Aprovada,Cabinda,Empresarial
TXN003460,CLI0012,Compra com Cartão,207208.55,2024-01-12 19:02:07,Agente Bancário,Recusada,Cabinda,Corrente
TXN004552,CLI0098,Recarga de Telemóvel,214470.06,2023-04-19 16:18:49,App Mobile,Recusada,Sumbe,Corrente
TXN000744,CLI0020,Depósito,191471.72,2023-04-27 06:55:52,Agente Bancário,Aprovada,Huambo,Jovem
TXN003316,CLI0070,Compra com Cartão,186713.36,2023-02-15 21:53:13,Balcão,Aprovada,Huambo,Corrente
TXN004774,CLI0037,Recebimento de Salário,3203.61,2023-07-26 14:32:13,Internet Banking,Aprovada,Huambo,Jovem
TXN002454,CLI0101,Levantamento,130989.18,2024-03-06 23:23:18,Internet Banking,Aprovada,Lubango,Jovem
TXN004641,CLI0122,Pagamento de Serviço,8142.98,2024-03-06 21:18:42,Balcão,Pendente,Lubango,Empresarial
TXN004174,CLI0029,Recebimento de Salário,184792.78,2023-11-12 10:34:42,Balcão,Aprovada,Benguela,Corrente
TXN004730,CLI0077,Recebimento de Salário,116968.86,2023-10-22 07:08:48,Agente Bancário,Aprovada,Huambo,Jovem
TXN004220,CLI0160,Pagamento de Serviço,44660.27,2024-07-15 16:59:12,ATM,Aprovada,Sumbe,Empresarial
TXN004485,CLI0036,Transferência,188239.92,2023-08-26 14:33:20,Internet Banking,Aprovada,Lubango,Poupança
TXN002013,CLI0069,Pagamento de Electricidade,18556.45,2023-01-31 18:31:47,Agente Bancário,Recusada,Uíge,Empresarial
TXN004388,CLI0032,Pagamento de Serviço,4649.82,2023-05-01 01:25:19,ATM,Aprovada,Uíge,Jovem
TXN004714,CLI0029,Transferência,165913.64,2023-01-17 02:34:24,App Mobile,Aprovada,Benguela,Corrente
TXN004464,CLI0087,Transferência,93703.83,2024-04-11 04:20:01,Agente Bancário,Aprovada,Uíge,Poupança
TXN003616,CLI0017,Pagamento de Empréstimo,167435.87,2023-12-07 09:39:51,Balcão,Aprovada,Huambo,Jovem
TXN004525,CLI0036,Pagamento de Renda,18275.95,2024-01-22 02:25:42,Internet Banking,Aprovada,Lubango,Poupança
TXN004040,CLI0075,Recarga de Telemóvel,151697.3,2023-11-01 06:21:16,Balcão,Aprovada,Huambo,Jovem
TXN000594,CLI0033,Depósito,152879.29,2023-08-23 03:49:41,Internet Banking,Aprovada,Cabinda,Corrente
TXN004969,CLI0191,Compra com Cartão,54404.46,2024-04-18 08:03:05,Balcão,Recusada,Benguela,Corrente
TXN002646,CLI0060,Compra com Cartão,23018.42,2023-07-14 13:55:43,Balcão,Recusada,Kuito,Jovem
TXN000497,CLI0106,Compra com Cartão,64483.44,2023-05-05 17:30:30,App Mobile,Pendente,Saurimo,Empresarial
TXN001014,CLI0094,Levantamento,51417.19,2024-01-22 11:06:17,ATM,Aprovada,Luanda,Empresarial
TXN001249,CLI0048,Levantamento,150086.71,2024-04-13 06:59:24,ATM,Recusada,Malanje,Corrente
TXN001080,CLI0058,Transferência,180434.68,2024-05-26 02:14:12,ATM,Aprovada,Sumbe,Empresarial
TXN000351,CLI0196,Pagamento de Electricidade,141977.25,2024-04-15 09:17:10,Agente Bancário,Aprovada,Saurimo,Corrente
TXN004013,CLI0001,Transferência,34522.99,2023-08-20 10:07:34,App Mobile,Aprovada,Malanje,Poupança
TXN001912,CLI0190,Depósito,228876.97,2023-10-16 17:51:40,ATM,Recusada,Malanje,Empresarial
TXN003300,CLI0182,Pagamento de Empréstimo,33533.46,2023-10-18 01:56:20,Internet Banking,Aprovada,Uíge,Corrente
TXN001115,CLI0170,Transferência,-54639.95,2023-05-23 20:19:25,ATM,Recusada,Uíge,Corrente
TXN003268,CLI0139,Pagamento de Electricidade,224436.47,2024-02-23 11:26:32,ATM,Aprovada,Kuito,Poupança
TXN003168,CLI0082,Depósito,14390.87,2024-03-18 13:51:06,App Mobile,Aprovada,Uíge,Corrente
TXN002862,CLI0182,Pagamento de Serviço,235137.54,2023-06-18 15:39:43,ATM,Pendente,Uíge,Corrente
TXN002920,CLI0032,Pagamento de Renda,200260.57,2023-05-09 07:35:40,ATM,Recusada,Uíge,Jovem
TXN003141,CLI0083,Pagamento de Serviço,229392.83,2024-04-24 10:43:18,ATM,Aprovada,Cabinda,Empresarial
TXN004078,CLI0191,Transferência,212930.69,2023-08-23 18:47:47,Agente Bancário,Pendente,Benguela,Corrente
TXN003699,CLI0039,Levantamento,64378.87,2023-09-06 00:51:14,Agente Bancário,Aprovada,Kuito,Corrente
TXN003611,CLI0070,Transferência,216296.09,2023-11-08 05:48:01,ATM,Aprovada,Huambo,Corrente
TXN002563,CLI0020,Compra com Cartão,221614.35,2023-09-14 02:47:04,Internet Banking,Recusada,Huambo,Jovem
TXN004789,CLI0082,Pagamento de Electricidade,138326.24,2024-11-07 16:04:47,ATM,Aprovada,Uíge,Corrente
TXN000719,CLI0094,Pagamento de Renda,120963.74,2023-02-22 14:10:40,Balcão,Aprovada,Luanda,Empresarial
TXN002493,CLI0072,Pagamento de Serviço,165663.87,2024-05-31 23:22:21,ATM,Aprovada,Lubango,Jovem
TXN004686,CLI0099,Recarga de Telemóvel,167272.77,2024-04-24 04:15:55,ATM,Pendente,Huambo,Empresarial
TXN003145,CLI0174,Pagamento de Empréstimo,150901.22,2023-07-06 05:11:35,ATM,Pendente,Cabinda,Poupança
TXN001741,CLI0017,TRANSFERÊNCIA,123171.16,2024-07-18 13:31:06,,Pendente,Huambo,Jovem
TXN000130,CLI0101,Pagamento de Renda,67544.93,2024-05-06 04:49:38,ATM,Recusada,Lubango,Jovem
TXN003972,CLI0007,Recarga de Telemóvel,-150148.15,2024-09-27 07:42:51,App Mobile,Aprovada,Sumbe,Corrente
